base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,The teacher adjusts teaching to the level of students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills,Students collaborate with one another,word_count,na_count
1104488,first,BaseEvaluator,Y,,Y,,3.0,H,M,H,M,3.0,M,M,M,L,3.0,M,M,,3.0,M,M,2.0,M,M,M,2.0,M,M,M,2.0,M,M,M,,M,M,L,M,747,4
259358,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,M,M,3.0,H,M,M,M,4.0,M,M,M,3.0,M,M,,M,M,M,2.0,M,M,M,,M,,M,3.0,M,M,M,M,1158,3
256776,first,BaseEvaluator,Y,M,Y,,3.0,H,M,M,M,2.0,M,L,M,L,3.0,M,M,,3.0,M,,,M,M,M,2.0,M,L,M,3.0,M,,M,2.0,M,L,M,M,910,5
259358,last,BaseEvaluator,Y,H,Y,L,2.0,M,M,M,M,2.0,L,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,M,H,3.0,L,L,H,,M,M,M,1.0,M,M,M,M,1030,1
492108,last,BaseEvaluator,Y,M,Y,M,1.0,L,M,M,,2.0,M,M,L,M,3.0,L,L,H,3.0,M,M,3.0,L,L,M,3.0,L,L,M,3.0,M,M,L,,L,M,M,H,1148,2
492108,first,BaseEvaluator,Y,M,Y,L,3.0,M,M,M,M,3.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,L,M,3.0,M,L,H,3.0,M,M,H,2.0,M,L,M,M,1370,0
358317,last,BaseEvaluator,Y,,Y,M,3.0,M,H,M,M,2.0,M,L,L,M,2.0,M,M,H,3.0,M,M,2.0,M,M,M,3.0,M,H,H,,M,H,H,,M,M,M,H,1101,3
361337,last,BaseEvaluator,Y,H,Y,,3.0,H,M,M,M,3.0,L,M,M,L,2.0,M,M,H,2.0,M,M,3.0,L,L,M,2.0,M,L,M,,M,M,M,,M,L,M,M,1049,3
361337,first,BaseEvaluator,Y,,Y,H,3.0,H,M,M,M,2.0,M,M,M,M,2.0,M,M,M,3.0,M,,,M,M,M,3.0,M,L,L,2.0,,L,,,M,M,M,M,1110,6
415992,first,BaseEvaluator,Y,,Y,,3.0,H,M,,M,2.0,H,M,M,M,3.0,M,M,M,2.0,M,M,2.0,M,M,M,3.0,M,L,L,3.0,M,L,M,,M,L,M,,983,5
237990,first,BaseEvaluator,Y,,Y,,3.0,M,M,,M,2.0,M,L,M,M,2.0,M,M,,2.0,L,,2.0,M,M,M,2.0,L,L,M,3.0,M,,M,,M,M,M,M,652,7
416594,last,BaseEvaluator,Y,,Y,M,3.0,H,H,M,M,3.0,M,M,M,L,3.0,M,M,H,3.0,M,M,3.0,M,M,M,3.0,M,L,M,3.0,H,M,H,,M,M,M,M,1120,2
238089,last,BaseEvaluator,Y,M,Y,M,3.0,H,M,,M,3.0,M,M,M,L,2.0,M,M,H,3.0,M,M,2.0,M,M,M,3.0,M,L,M,3.0,M,M,M,2.0,M,M,M,H,865,1
283416,first,BaseEvaluator,Y,H,N,,3.0,H,M,,M,2.0,L,,L,L,,M,M,,3.0,M,,3.0,L,L,L,2.0,M,M,M,2.0,M,M,,3.0,M,,M,,832,9
283416,last,BaseEvaluator,Y,M,Y,L,3.0,M,L,M,M,1.0,L,L,L,L,2.0,L,L,L,2.0,L,,,L,L,L,2.0,L,L,M,,L,M,L,,M,M,M,M,172,4
283598,first,BaseEvaluator,Y,H,,,3.0,H,M,H,M,3.0,L,M,M,L,3.0,M,M,,3.0,M,M,2.0,M,M,M,3.0,M,L,L,3.0,M,M,M,,,L,M,M,939,5
283598,last,BaseEvaluator,Y,M,Y,L,3.0,M,M,M,M,3.0,L,L,L,L,3.0,M,M,M,3.0,M,M,3.0,M,H,M,3.0,M,L,H,3.0,M,M,M,,M,M,M,M,732,1
411355,last,BaseEvaluator,Y,H,Y,M,3.0,H,H,H,M,2.0,M,M,M,M,2.0,M,M,M,3.0,M,M,2.0,M,L,M,3.0,L,L,L,3.0,M,M,M,,M,L,M,L,1137,1
411355,first,BaseEvaluator,Y,H,Y,,3.0,H,H,,M,2.0,M,M,M,L,3.0,M,M,,3.0,M,,3.0,L,M,M,2.0,L,L,M,3.0,M,M,H,,M,L,M,,1025,6
226480,first,BaseEvaluator,Y,,Y,M,3.0,H,M,M,M,2.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,M,M,2.0,L,M,M,2.0,M,L,M,3.0,M,M,M,L,486,1
306753,last,BaseEvaluator,Y,L,Y,L,3.0,M,L,M,M,,M,M,,L,,L,,M,,L,M,2.0,L,L,,,L,L,M,2.0,M,M,M,,M,,L,M,144,9
312793,first,BaseEvaluator,Y,H,Y,H,3.0,H,H,M,M,2.0,M,M,M,,3.0,M,M,M,3.0,M,M,2.0,M,M,H,4.0,M,L,M,3.0,M,M,M,,M,L,M,M,1579,2
312793,last,BaseEvaluator,Y,,Y,,3.0,H,H,M,M,2.0,M,L,L,L,,M,M,M,3.0,M,M,2.0,M,L,M,2.0,M,H,M,2.0,M,M,M,,M,M,M,M,808,4
320978,first,BaseEvaluator,Y,M,Y,,3.0,M,M,M,M,2.0,M,M,M,L,3.0,M,M,L,3.0,M,L,2.0,M,M,M,3.0,M,L,L,2.0,M,L,M,,M,L,M,L,724,2
321356,first,BaseEvaluator,Y,L,Y,,2.0,M,L,,,,L,,L,,1.0,L,M,M,,,,,L,L,,,,,L,2.0,,,,,,L,L,M,356,19
723288,first,BaseEvaluator,Y,,Y,,3.0,H,H,,M,3.0,M,M,M,M,3.0,M,M,,3.0,M,M,3.0,M,M,M,3.0,M,L,L,3.0,M,M,M,,,L,L,,872,7
723288,last,BaseEvaluator,Y,H,Y,H,3.0,M,M,,M,2.0,L,L,L,L,3.0,M,M,M,3.0,M,M,2.0,M,M,L,3.0,L,L,L,2.0,M,M,M,,M,M,M,M,961,2
1126747,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,2.0,M,M,M,M,3.0,M,M,,3.0,M,M,2.0,M,M,H,3.0,L,L,L,3.0,M,,M,,M,L,,M,863,6
1422534,last,BaseEvaluator,Y,H,Y,H,3.0,M,L,,M,2.0,L,M,M,L,1.0,,,M,2.0,M,,2.0,L,,M,2.0,L,L,L,,M,L,,,M,M,L,M,116,8
1597251,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,3.0,H,M,M,L,3.0,M,M,,3.0,M,M,2.0,M,M,M,1.0,M,L,L,3.0,M,M,M,2.0,M,,M,,872,5
1597251,last,BaseEvaluator,Y,,Y,,3.0,M,M,,M,1.0,M,M,L,L,2.0,L,L,M,1.0,L,,1.0,L,L,L,2.0,L,L,L,,M,L,M,2.0,L,L,L,,342,6
383760,first,BaseEvaluator,Y,,,,3.0,H,M,,M,2.0,M,M,M,,2.0,M,M,,1.0,L,,2.0,L,M,L,2.0,L,L,L,2.0,M,M,M,,M,L,M,M,834,8
389817,last,BaseEvaluator,Y,,Y,H,3.0,M,L,,M,2.0,L,M,M,L,3.0,L,L,M,3.0,M,M,2.0,L,L,L,2.0,L,L,L,,M,,M,,L,L,,L,226,6
383760,last,BaseEvaluator,Y,,Y,,3.0,M,L,M,M,2.0,L,M,L,M,2.0,L,L,L,2.0,M,L,2.0,L,M,M,1.0,L,L,L,1.0,M,L,M,1.0,L,L,M,L,466,2
389163,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,2.0,M,M,M,M,2.0,M,M,,3.0,M,,2.0,M,M,M,2.0,M,M,L,3.0,M,M,M,2.0,L,L,M,,893,5
447789,first,BaseEvaluator,N,,N,,3.0,M,M,,M,1.0,L,,L,L,,L,L,,2.0,L,,2.0,L,L,,1.0,L,M,M,3.0,,L,M,,M,L,M,,656,11
444869,last,BaseEvaluator,Y,M,Y,M,3.0,M,L,M,M,1.0,M,L,L,L,2.0,L,M,M,3.0,L,M,1.0,L,L,L,1.0,L,M,L,2.0,M,M,M,,L,L,L,M,339,1
447268,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,M,M,2.0,M,M,M,,3.0,M,M,M,3.0,M,M,2.0,M,M,M,4.0,M,,L,3.0,M,M,M,,M,,M,,917,5
556704,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,3.0,H,M,M,M,3.0,M,M,M,3.0,M,,2.0,M,M,M,2.0,M,L,L,2.0,M,,H,,M,L,M,,973,6
556704,last,BaseEvaluator,Y,,Y,L,3.0,M,M,M,M,1.0,L,L,L,M,,L,L,M,2.0,M,,2.0,L,L,L,1.0,L,L,L,,M,M,M,,M,M,M,M,287,5
652768,last,BaseEvaluator,Y,,Y,,,,,,,,,,,L,,,,M,,,,,,L,,1.0,,,,,,,,,,M,,M,102,30
588111,first,BaseEvaluator,Y,M,Y,,3.0,M,L,,M,2.0,H,M,M,,3.0,L,L,,,L,,,L,L,L,1.0,M,L,M,2.0,,,,3.0,L,L,M,,703,11
588111,last,BaseEvaluator,Y,,Y,M,3.0,H,M,,M,3.0,M,M,M,M,2.0,M,M,M,3.0,M,M,3.0,M,M,M,4.0,M,L,H,1.0,M,M,H,,M,M,M,,759,4
784199,first,BaseEvaluator,Y,H,,,3.0,H,L,,M,2.0,L,M,M,,3.0,M,M,,1.0,L,M,2.0,M,M,M,2.0,L,L,L,,L,L,,,L,L,L,,745,9
1109818,first,BaseEvaluator,Y,,Y,,3.0,M,M,,M,3.0,M,M,M,M,2.0,M,M,,,,,,M,L,M,2.0,L,L,L,,M,,M,,L,L,,,385,13
1109818,last,BaseEvaluator,Y,,Y,,3.0,H,M,,M,3.0,M,M,M,L,2.0,L,L,M,2.0,M,M,2.0,L,L,L,2.0,L,L,L,2.0,M,M,M,,L,L,L,,339,5
207258,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,2.0,M,M,M,L,3.0,M,M,,3.0,M,M,2.0,M,L,M,3.0,L,L,L,,,L,M,,M,L,M,,972,7
232512,first,BaseEvaluator,Y,,Y,H,3.0,H,L,,M,3.0,M,M,M,,3.0,M,M,,3.0,M,M,2.0,M,M,M,2.0,L,L,L,3.0,M,M,M,2.0,M,L,M,M,781,4
233692,first,BaseEvaluator,Y,,Y,,3.0,M,M,,M,2.0,M,M,M,L,2.0,M,L,M,3.0,M,M,2.0,L,L,,2.0,L,L,L,,M,,M,,M,M,M,M,442,7
410712,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,,M,2.0,H,M,M,L,3.0,M,M,M,3.0,M,M,2.0,L,M,M,2.0,L,L,L,3.0,M,M,H,2.0,M,M,M,M,737,1
410712,last,BaseEvaluator,Y,H,Y,H,3.0,H,M,,M,3.0,H,M,M,M,3.0,M,M,M,3.0,M,M,2.0,L,M,M,3.0,L,M,H,3.0,M,M,M,2.0,M,L,M,M,884,1
487124,first,BaseEvaluator,Y,M,Y,,3.0,,L,,M,,L,L,M,,,M,M,M,,M,,,L,M,L,2.0,L,L,L,1.0,,,,,M,,L,M,838,14
587147,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,3.0,H,M,M,L,2.0,M,M,,3.0,M,M,,M,M,M,2.0,M,L,M,2.0,,,M,1.0,M,L,M,,1009,7
587147,last,BaseEvaluator,Y,,Y,,3.0,M,M,M,M,3.0,M,L,M,M,3.0,L,M,L,3.0,M,M,3.0,M,L,M,2.0,L,M,H,,,L,M,2.0,M,M,M,M,394,4
818856,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,,M,3.0,H,M,M,M,3.0,M,M,M,3.0,H,M,2.0,M,M,M,3.0,L,L,L,3.0,M,M,H,2.0,M,,M,M,1030,2
292714,last,BaseEvaluator,Y,,Y,M,3.0,H,H,H,M,3.0,M,H,M,L,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,M,L,M,,M,M,M,,M,M,H,H,1103,3
292714,first,BaseEvaluator,Y,H,,,4.0,H,H,,M,2.0,L,,L,L,,M,M,,3.0,M,,2.0,L,M,,2.0,M,M,M,3.0,,M,,1.0,M,L,M,M,1242,10
292730,first,BaseEvaluator,Y,,Y,M,3.0,M,L,M,M,2.0,M,M,M,M,3.0,M,M,,3.0,L,M,2.0,L,L,M,2.0,M,M,L,3.0,,,M,,M,L,M,L,736,5
515916,first,BaseEvaluator,Y,H,Y,,3.0,H,M,H,M,2.0,M,M,M,L,3.0,M,L,M,3.0,M,M,2.0,L,L,M,2.0,L,L,M,3.0,M,M,M,,M,M,M,M,906,2
425983,last,BaseEvaluator,Y,L,,L,,M,L,,M,,L,,,L,1.0,L,,M,,,,,L,L,,1.0,,,L,,,L,M,,M,,M,M,70,18
541433,first,BaseEvaluator,Y,,Y,,3.0,H,M,,M,2.0,M,M,M,M,3.0,M,M,,3.0,M,,,M,M,M,2.0,L,L,M,3.0,,,M,,M,L,M,L,771,9
596775,first,BaseEvaluator,Y,,Y,H,3.0,H,M,,M,3.0,H,M,M,L,2.0,M,M,,,M,M,3.0,M,M,M,2.0,M,L,M,3.0,M,M,M,2.0,M,L,M,,876,5
596775,last,BaseEvaluator,Y,,Y,M,3.0,H,M,M,M,3.0,M,M,M,M,3.0,M,M,M,4.0,M,M,2.0,M,H,H,3.0,M,L,L,3.0,M,M,H,,M,L,M,M,1032,2
1176106,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,2.0,M,M,M,L,2.0,M,M,,,M,,2.0,M,L,,2.0,M,L,L,2.0,M,M,M,1.0,L,L,M,,845,7
1551092,first,BaseEvaluator,Y,,Y,,3.0,M,L,M,M,2.0,M,M,L,L,3.0,M,M,,3.0,M,M,2.0,M,M,M,2.0,M,L,M,2.0,M,M,M,1.0,L,L,,M,651,4
486621,last,BaseEvaluator,Y,H,Y,H,3.0,H,M,,M,3.0,,L,L,L,2.0,M,L,,1.0,L,,2.0,M,M,L,2.0,L,L,L,,M,L,M,,,L,L,,99,8
1551092,last,BaseEvaluator,Y,,Y,,3.0,H,M,,M,3.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,L,M,3.0,M,M,L,,M,M,M,2.0,M,M,,M,489,5
712950,first,BaseEvaluator,Y,,N,,2.0,H,L,,M,2.0,M,M,M,L,2.0,M,M,,3.0,M,M,2.0,M,M,M,3.0,M,M,M,2.0,M,L,M,2.0,M,L,M,L,502,4
379859,first,BaseEvaluator,Y,H,Y,,3.0,M,M,M,M,2.0,L,L,M,L,2.0,L,L,M,3.0,L,L,2.0,M,M,H,2.0,M,M,M,1.0,M,M,M,,M,M,M,M,802,2
381855,first,BaseEvaluator,Y,H,Y,M,3.0,H,H,M,M,3.0,M,M,H,L,2.0,M,M,M,3.0,H,M,2.0,M,M,M,4.0,M,L,H,3.0,,M,M,,M,M,M,H,2723,2
382242,last,BaseEvaluator,Y,,Y,H,4.0,H,H,H,M,4.0,M,M,H,M,3.0,M,H,H,4.0,M,M,3.0,M,M,H,3.0,M,,H,1.0,M,M,H,,M,M,M,,2657,4
382242,first,BaseEvaluator,Y,H,Y,,3.0,H,H,M,M,2.0,M,H,M,M,3.0,M,M,M,3.0,M,H,3.0,M,M,M,4.0,M,L,M,3.0,,M,M,2.0,M,M,M,H,2955,2
420703,last,BaseEvaluator,Y,,Y,L,3.0,H,M,M,M,2.0,M,L,L,M,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,M,M,M,2.0,M,M,M,,M,M,M,M,2046,2
428953,first,BaseEvaluator,Y,H,Y,,3.0,H,H,M,M,3.0,M,H,H,,2.0,M,M,,3.0,M,M,2.0,M,M,H,3.0,M,M,L,3.0,,M,H,,M,L,M,,3377,6
428953,last,BaseEvaluator,Y,M,Y,M,3.0,M,M,M,M,3.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,M,L,L,2.0,M,,M,,M,L,M,L,1234,2
808147,first,BaseEvaluator,Y,H,Y,,3.0,M,M,M,,1.0,L,L,L,L,2.0,L,L,M,,L,M,2.0,L,L,,2.0,L,L,M,,M,M,,,M,M,M,M,535,7
808147,last,BaseEvaluator,Y,M,Y,L,3.0,M,M,M,M,2.0,L,L,L,L,3.0,M,M,M,3.0,M,L,1.0,M,M,L,2.0,L,L,L,,M,L,M,,L,L,M,L,358,2
829457,first,BaseEvaluator,Y,H,Y,M,3.0,H,H,M,M,2.0,M,M,M,M,3.0,M,M,M,3.0,M,M,3.0,M,M,M,3.0,M,M,M,3.0,M,M,M,3.0,M,M,M,M,3377,0
829457,last,BaseEvaluator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663,38
268367,first,BaseEvaluator,Y,H,Y,H,3.0,H,H,H,M,3.0,M,M,M,M,3.0,M,M,H,3.0,H,,3.0,M,M,H,4.0,M,M,M,3.0,M,M,H,,M,M,M,H,2449,2
268516,last,BaseEvaluator,Y,M,Y,M,3.0,H,M,M,M,2.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,L,M,2.0,M,M,L,3.0,M,L,M,2.0,L,L,M,L,1658,0
690867,first,BaseEvaluator,Y,H,Y,M,3.0,H,M,H,M,2.0,H,M,M,M,2.0,M,M,M,3.0,M,M,2.0,M,M,M,2.0,M,M,M,1.0,M,M,M,3.0,M,M,M,M,1613,0
269779,first,BaseEvaluator,Y,H,Y,M,3.0,H,M,M,M,2.0,M,M,M,L,3.0,M,M,M,3.0,M,M,2.0,M,M,M,2.0,L,L,H,3.0,M,M,M,,M,M,M,M,1916,1
269779,last,BaseEvaluator,Y,L,Y,M,3.0,M,H,M,M,1.0,M,L,L,L,1.0,M,L,M,2.0,M,,2.0,L,L,M,2.0,L,L,H,2.0,M,M,M,,M,M,M,M,899,2
269860,last,BaseEvaluator,Y,,Y,,3.0,H,H,M,M,2.0,M,L,M,L,3.0,M,M,M,3.0,M,L,2.0,M,L,M,3.0,M,L,M,3.0,M,M,H,,M,L,M,M,1899,3
269910,first,BaseEvaluator,Y,H,Y,H,3.0,H,H,H,M,2.0,L,M,M,L,3.0,M,M,M,3.0,M,M,2.0,M,M,M,2.0,M,L,M,3.0,M,M,M,,L,L,M,L,2548,1
269910,last,BaseEvaluator,Y,,Y,,3.0,H,M,,M,2.0,L,L,L,L,2.0,L,L,M,2.0,M,M,2.0,L,L,L,2.0,L,L,L,,M,M,M,,,L,L,,238,7
351775,first,BaseEvaluator,Y,M,Y,,3.0,H,M,M,M,3.0,M,M,M,M,2.0,M,M,M,3.0,M,M,2.0,M,M,M,2.0,M,L,M,2.0,M,M,M,,M,M,M,L,3380,2
357848,last,BaseEvaluator,Y,,Y,M,3.0,H,M,M,M,4.0,M,M,M,M,3.0,M,M,M,4.0,M,M,3.0,M,M,M,3.0,L,L,M,,,,M,,M,M,L,M,1373,5
512160,last,BaseEvaluator,Y,,Y,,3.0,M,M,,M,2.0,M,M,L,M,3.0,M,M,M,3.0,M,M,3.0,M,M,M,2.0,L,L,L,2.0,M,L,M,,M,L,L,,1243,5
746602,last,BaseEvaluator,Y,M,Y,H,3.0,M,M,,M,2.0,L,M,L,L,3.0,L,L,H,3.0,M,M,2.0,L,L,M,2.0,L,L,L,,M,L,M,1.0,M,M,L,M,201,2
838565,last,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,2.0,L,M,M,M,2.0,M,L,,3.0,M,M,2.0,M,M,M,3.0,L,L,L,2.0,M,L,M,,,L,L,,516,6
208751,last,BaseEvaluator,Y,H,Y,H,3.0,H,M,H,M,2.0,M,M,M,L,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,L,L,M,2.0,M,M,M,2.0,M,M,M,M,1413,0
1164664,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,3.0,M,M,M,L,2.0,M,M,,3.0,M,M,2.0,M,M,M,3.0,M,L,L,3.0,M,M,M,,M,L,M,,1815,5
1164664,last,BaseEvaluator,Y,,Y,,3.0,M,M,M,M,2.0,L,L,L,L,3.0,M,M,H,3.0,M,M,2.0,L,M,,3.0,L,L,M,,L,L,M,,M,M,L,M,243,5
1166503,first,BaseEvaluator,Y,H,Y,,3.0,H,H,,M,2.0,H,M,M,M,3.0,M,M,,3.0,H,M,2.0,M,M,M,3.0,M,L,L,3.0,M,M,,3.0,M,M,M,L,2413,4
758128,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,M,M,3.0,M,M,M,L,2.0,M,M,M,3.0,M,M,3.0,M,M,M,3.0,M,L,M,2.0,M,M,H,2.0,M,L,M,,2134,1
758128,last,BaseEvaluator,Y,L,Y,L,3.0,M,M,M,M,2.0,M,L,L,L,2.0,L,M,M,3.0,M,M,1.0,M,L,M,2.0,L,L,M,,M,M,M,1.0,L,M,M,M,322,1
263442,first,BaseEvaluator,Y,H,Y,,3.0,H,M,H,M,3.0,H,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,M,H,3.0,M,H,H,3.0,M,M,M,3.0,M,H,M,H,2144,1
263673,last,BaseEvaluator,Y,,Y,,3.0,M,L,,M,2.0,L,M,L,L,2.0,L,L,,1.0,L,,,L,L,L,1.0,L,L,L,,M,L,,1.0,L,L,,,77,10
263772,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,M,M,2.0,M,M,M,M,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,M,L,L,1.0,,M,M,,M,L,M,L,1339,2
455840,last,BaseEvaluator,Y,,Y,M,3.0,H,H,H,M,2.0,M,M,L,M,3.0,M,M,M,3.0,M,M,2.0,M,M,M,3.0,M,L,H,3.0,M,,M,,M,M,M,M,2091,3
515650,first,BaseEvaluator,Y,H,Y,,3.0,H,M,,M,3.0,M,M,M,L,3.0,M,M,M,2.0,M,,2.0,M,L,H,2.0,M,L,M,3.0,M,L,H,2.0,M,M,M,M,1707,3
515650,last,BaseEvaluator,Y,H,Y,M,3.0,H,H,,M,2.0,L,M,L,M,2.0,M,L,M,2.0,M,L,2.0,M,M,M,3.0,M,L,H,2.0,M,M,M,1.0,M,M,M,L,1194,1
860783,last,BaseEvaluator,Y,,Y,M,3.0,H,M,,M,2.0,M,M,M,L,2.0,M,M,M,3.0,M,M,3.0,M,M,M,2.0,L,L,M,2.0,M,M,M,,M,L,M,L,869,3
661033,first,BaseEvaluator,Y,H,Y,H,3.0,H,M,,M,4.0,H,H,H,M,3.0,M,M,,3.0,M,M,3.0,M,M,M,3.0,M,,M,2.0,,M,M,2.0,M,M,M,,2968,5
661033,last,BaseEvaluator,Y,,,,1.0,L,M,,,1.0,L,L,L,L,1.0,L,L,L,,L,,,L,L,L,1.0,L,L,L,,L,L,L,1.0,L,L,L,L,142,9
